Column1	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27	Column28	Column29	Column30	Column31	Column32	Column33	Column34	Column35	Column36	Column37	Column38	Column39	Column40	Column41	Column42	Column43	Column44	Column45	Column46	Column47	Column48	Column49	Column50	Column51	Column52	Column53	Column54	Column55	Column56	Column57	Column58	Column59	Column60	Column61	Column62	Column63	Column64	Column65	Column66	Column67	Column68	Column69	Column70
	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 	Vorm 
Afbeeldingnaam	Centrale compositie	Assymetrische compositie	Symmetische compositie	Driehoekscompostie	Statische compositie	Dynamische compositie	Overall compositie	Diagonale compositie	Ritme	Beweging	Verticale compositie	Horizontale compositie	Meelicht	Zijlicht	Tegenlicht	Strijklicht	Eigen schaduw	Slagschaduw	Lichtreflectie	Diffuus licht	Direct licht	Glimlicht	Clair-obscur	Silhouet	Omklapping	Stapeling	Groot-Klein	Overlapping	Afsnijding	Plans	Plasticiteit	Trompe l'oeil	Vogelvluchtperspectief	Kikvorsperspectief	Ooghoogte	Kleurperspectief	Repoussoir	Atmosferisch perspectief	Lijnperspectief	Verkleining	Verkorting	Doorkijk	Complementair kleurcontrast	Licht/donker contrast	Kwaliteitscontrast	Kwantiteitscontrast	Warm/koud contrast	Realistisch kleurgebruik	Decoratief kleurgebruik	Monochroom kleurgebruik	Symbolisch leurgebruik	Expressief kleurgebruik	Ruimte versterkend kleurgebruik	Geometrische vormen	Organische vormen	Expressieve vormen	Realistisch	Abstract	Geïdealiseerd	Gestileerd	Enkelvoudig samengestelde vorm	Open vorm	Gesloten vorm	Symmetrische vorm	Asymmetrische vorm	3D	2D	Gedeformeerd (vervormd)
1 - Caravaggio, De Emmaüsgangers	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	x	x	x	x	x	0	1	0
2 - Henri Matisse, De Dans	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	x	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	x	x	x	x	x	0	1	1
1 - Caravaggio, De Emmaüsgangers	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	x	x	x	x	x	0	1	0
2 - Henri Matisse, De Dans	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	x	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	x	x	x	x	x	0	1	1
1 - Caravaggio, De Emmaüsgangers	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	x	x	x	x	x	0	1	0
2 - Henri Matisse, De Dans	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	x	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	x	x	x	x	x	0	1	1
1 - Caravaggio, De Emmaüsgangers	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	x	x	x	x	x	0	1	0
2 - Henri Matisse, De Dans	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	x	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	x	x	x	x	x	0	1	1
1 - Caravaggio, De Emmaüsgangers	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	x	x	x	x	x	0	1	0
2 - Henri Matisse, De Dans	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	x	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	x	x	x	x	x	0	1	1
1 - Caravaggio, De Emmaüsgangers	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	x	x	x	x	x	0	1	0
2 - Henri Matisse, De Dans	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	x	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	x	x	x	x	x	0	1	1
1 - Caravaggio, De Emmaüsgangers	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	x	x	x	x	x	0	1	0
2 - Henri Matisse, De Dans	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	x	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	x	x	x	x	x	0	1	1
1 - Caravaggio, De Emmaüsgangers	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	x	x	x	x	x	0	1	0
2 - Henri Matisse, De Dans	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	x	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	x	x	x	x	x	0	1	1
