	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Compositie	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Licht	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Ruimte	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Kleur	Vorm	Vorm	Vorm	Vorm	Vorm	Vorm	Vorm	Vorm	Vorm	Vorm	Vorm	Vorm	Vorm	Vorm	Vorm
Afbeeldingnaam	Centrale compositie	Assymetrische compositie	Symmetische compositie	Driehoekscompostie	Statische compositie	Dynamische compositie	Overall compositie	Diagonale compositie	Ritme	Beweging	Verticale compositie	Horizontale compositie	Meelicht	Zijlicht	Tegenlicht	Strijklicht	Eigen schaduw	Slagschaduw	Lichtreflectie	Diffuus licht	Direct licht	Glimlicht	Clair-obscur	Silhouet	Omklapping	Stapeling	Groot-Klein	Overlapping	Afsnijding	Plans	Plasticiteit	Trompe l'oeil	Vogelvluchtperspectief	Kikvorsperspectief	Ooghoogte	Kleurperspectief	Repoussoir	Atmosferisch perspectief	Lijnperspectief	Verkleining	Verkorting	Doorkijk	Complementair kleurcontrast	Licht/donker contrast	Kwaliteitscontrast	Kwantiteitscontrast	Warm/koud contrast	Realistisch kleurgebruik	Decoratief kleurgebruik	Monochroom kleurgebruik	Symbolisch leurgebruik	Expressief kleurgebruik	Ruimte versterkend kleurgebruik	Geometrische vormen	Organische vormen	Expressieve vormen	Realistisch	Abstract	Geidealiseerd	Gestileerd	Enkelvoudig samengestelde vorm	Open vorm	Gesloten vorm	Symmetrische vorm	Asymmetrische vorm	3D	2D	Gedeformeerd (vervormd)
Caravaggio, De Emmausgangers, 1601	1	1	0	0	0	1	0	1	0	1	0	1	0	1	0	0	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	x	x	x	x	x	0	1	0
Henri Matisse, De Dans, 1910	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	x	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	x	x	x	x	x	0	1	1
Willem Claesz Heda, Stilleven met aangebroken pastei, 1633	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	x	x	x	x	x	0	1	0
Claude Monet, Londen, Parlementsgebouwen. De zon dringt door de mist, 1904	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	x	x	0	x	x	0	1	0
Piet Mondriaan, Victory boogiewoogie, 1944	0	1	0	0	0	1	1	0	1	0	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	1	x	0	x	x	x	x	x	x	x	x	x	x	x	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	x	1	1	0	0	1	0
Masaccio, De Heilige Drie-eenheid,  ca. 1425-1428	1	0	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	1	1	1	1	0	1	0	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	x	x	x	x	x	0	1	0
Donald Judd, Zonder Titel (1992), Kunstmuseum Den Haag	0	0	1	0	1	0	0	0	1	0	1	0	x	x	x	x	x	x	x	x	x	x	x	x	0	0	0	0	0	0	0	0	x	x	x	x	x	x	x	x	x	x	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	1	0	0
De Laocoongroep, 42 v.Chr.	1	1	0	1	0	1	0	0	0	1	0	1	x	x	x	x	x	x	x	x	x	x	x	x	0	0	0	1	0	0	1	0	x	x	x	x	x	x	x	x	0	0	x	x	x	x	x	x	x	x	x	x	x	0	1	1	1	0	1	0	0	1	0	0	1	1	0	0
Rene Magritte, La Grande Guerre, 1964	1	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0
