Centrale compositie	Bij een centrale compositie staat het belangrijkste element in het midden van het beeldvlak.
Asymmetrische compositie	Als de elementen (onderdelen) niet in spiegelbeeld geordend zijn.
Symmetrische compositie	Als de elementen (onderdelen) wel in spiegelbeeld geordend zijn.
Driehoekscompositie	Een compositie waarbij vormen, kleuren en lijnen zo geordend zijn dat er een driehoek als grondvorm ontstaat.
Statische compositie	In een statische compositie (stilstaand of rust) ontstaat rust wanneer de onderdelen van de compositie met elkaar in evenwicht zijn.
Dynamische compositie	Een compositie die beweging uitstraalt door verschillende vormen en wisselende richtingen.
Overall compositie	Een overall compositie houdt in dat de beeldelementen zonder enige rangorde op het vlak geplaatst zijn. De elementen doen patroonachtig aan en lijken buiten het schilderij tot in het oneindige door te kunnen gaan.
Diagonale compositie	Een compositie waarbij vormen, kleuren en lijnen zo geordend zijn dat er een diagonale richting ontstaat (/ of \)
Ritme	Ritme in een kunstwerk wordt bereikt wanneer één of meerdere elementen min of meer regelmatig worden herhaald, waarmee een gevoel van organisatie wordt bereikt. Het gaat dan om volledig identieke of vergelijkbare beeldelementen.
Beweging	Bij deze compositie lijken bepaalde lijnen een beweging vertonen. Van een werkelijke beweging is geen sprake en dat noemt men illusie
Verticale compositie	Bij een verticale compositie plaats je alle vormen met de langste zijde in verticale richting, haaks op de horizon.
Horizontale compositie	Wanneer je een horizontale compositie bekijkt dan krijg je de indruk alsof er een beweging ontstaat van links naar rechts over het vlak. Door alle elementen met hun langste zijde in horizontale richting te plaatsen (gelijk aan de horizon) ontstaat er een horizontale compositie.
Meelicht	"Bij meelicht (ook wel ‘frontaal licht’) kijkt de toeschouwer in dezelfde richting als het licht schijnt., De lichtbron kan zich zowel vóór als achter de kijker bevinden; bij meelicht is er geen uitgesproken eigen schaduw."
Zijlicht	Zijlicht is wanneer de lichtbron zich aan de zijkant het voorwerp bevindt. Eigen schaduw en slagschaduw zijn dan duidelijk te zien, waardoor deze belichting zorgt voor een duidelijke plasticiteit.
Tegenlicht	Tegenlicht is wanneer de lichtbron zich recht voor de beschouwer bevindt en tegen de kijkrichting in schijnt. De belichte voorwerpen zijn als een silhouet te zien.
Strijklicht	Licht dat zijwaarts (bijna parallel) op het onderwerp van de foto valt. Het 'strijkt' als het ware langs het onderwerp, waardoor alle oneffenheden extra geaccentueerd worden.
Eigen schaduw	Eigen schaduw is de schaduw die op het object aanwezig is of de niet belichte kant van het voorwerp.
Slagschaduw	Een slagschaduw (ook  wel ‘schim’) is de schaduw die een object werpt op een ondergrond of een ander voorwerp.
Lichtreflectie	Licht dat op een materiaal of voorwerp valt, kan worden gereflecteerd of geabsorbeerd. Reflectie betekent dat de energie van de straling wordt teruggekaatst.
Diffuus licht	Diffuus licht is licht dat niet evenwijdig loopt, het lijkt van verschillende kanten te komen (vaak bij bewolking). Ook zijn er geen duidelijke schaduwen. (Een schaduw ontstaat als het licht van een lichtbron geheel of gedeeltelijk wordt tegengehouden door een voorwerp.)
Direct licht	Direct licht kenmerkt zich doordat alle stralen min of meer evenwijdig aan elkaar lopen. Een schaduw van een object veroorzaakt door direct licht heeft een scherpe rand of overgang.
Glimlicht	Glimlicht is een glanzende lichte vlek. Deze lichte vlek ontstaat als er veel licht wordt teruggekaatst. (In striptekeningen wordt het glimlicht als een witte vlek getekend).
Clair-obscur	Clair-obscur is een techniek uit de schilderkunst, film en fotografie waarbij de licht-donkercontrasten sterker worden uitgebeeld dan ze in werkelijkheid vaak zijn. Dit zorgt voor een dramatisch effect. Vaak is de lichtbron niet zichtbaar in het beeldvlak.
